Player A,Player B,Outcome,Factor A,Factor B,Score A,Score B
New York Giants,Kansas City Chiefs,1,0,0,27,16
Washington Redskins,Tampa Bay Buccaneers,1,0,0,16,13
New England Patriots,Baltimore Ravens,1,0,0,27,21
Chicago Bears,Detroit Lions,1,0,0,48,24
Houston Texans,Oakland Raiders,1,0,0,29,6
Indianapolis Colts,Seattle Seahawks,1,0,0,34,17
Cincinnati Bengals,Cleveland Browns,1,0,0,23,20
Jacksonville Jaguars,Tennessee Titans,1,0,0,37,17
Miami Dolphins,Buffalo Bills,1,0,0,38,10
New Orleans Saints,New York Jets,1,0,0,24,10
Denver Broncos,Dallas Cowboys,1,0,0,17,10
San Francisco 49ers,St. Louis Rams,1,0,0,35,0
Pittsburgh Steelers,San Diego Chargers,1,0,0,38,28
Minnesota Vikings,Green Bay Packers,1,0,0,30,23
