Player A,Player B,Outcome,Factor A,Factor B,Score A,Score B
Indianapolis Colts,St. Louis Rams,1,0,0,42,6
San Diego Chargers,Kansas City Chiefs,1,0,0,37,7
Green Bay Packers,Cleveland Browns,1,0,0,31,3
Pittsburgh Steelers,Minnesota Vikings,1,0,0,27,17
Houston Texans,San Francisco 49ers,1,0,0,24,21
New England Patriots,Tampa Bay Buccaneers,1,0,0,35,7
Buffalo Bills,Carolina Panthers,1,0,0,20,9
New York Jets,Oakland Raiders,1,0,0,38,0
Dallas Cowboys,Atlanta Falcons,1,0,0,37,21
New Orleans Saints,Miami Dolphins,1,0,0,46,34
Cincinnati Bengals,Chicago Bears,1,0,0,45,10
Arizona Cardinals,New York Giants,1,0,0,24,17
Philadelphia Eagles,Washington Redskins,1,0,0,27,17
